firstName,lastName,email,favoriteTomato,totalTomatoOrders,daysSinceLastOrder,zip,phoneNumber,age,streetAddress,city,state,customMessageOne,gender,VIP
Richard,Tyler,hallbeth@placeholder.email,Green Zebra,23,137,58570,+67(4)7940410189,50,925 Holland Burgs Suite 652,Lake Michaelberg,UT,Esse magnam voluptatibus id ex ipsam assumenda excepturi tenetur.,male,true
Jordan,David,josephjonathan@placeholder.email,Cherry Tomato,14,17,76675,1-194-783-9873x99581,28,2654 John Hill Suite 529,Benjaminfurt,SD,Rem quidem vitae cum.,male,true
Shawn,Michael,jennifer79@placeholder.email,Sungold,25,45,39011,454-461-4304x6736,49,8697 Silva Heights Apt. 212,North Cynthia,FM,Adipisci eius id necessitatibus illum nesciunt.,male,true
Shawn,Charles,vhughes@placeholder.email,Big Rainbow,18,19,49146,195.509.0453x27981,18,897 Erik Fork Apt. 809,Lake Ericabury,MS,Porro quo atque non tempore quasi assumenda.,male,true
Jennifer,Mitchell,charleslewis@placeholder.email,Cherry Tomato,23,190,93789,(164)702-7013x84641,26,59760 Moore Walk Apt. 665,Port Nicolas,TN,Blanditiis corrupti id accusamus aliquid laboriosam ad.,female,true
Dana,Bass,xtaylor@placeholder.email,Sweet Clusters,8,51,84703,(573)723-3428x055,17,5955 Cameron Road Suite 471,North Andrea,AL,Ab voluptates quibusdam culpa.,female,true
Courtney,Hernandez,eric04@placeholder.email,Green Zebra,4,28,53052,1-120-855-1758x0633,44,876 Brown Rue Suite 277,South Jacob,NV,Eum perferendis consectetur laborum exercitationem quae porro eaque.,female,true
John,James,kthomas@placeholder.email,Big Rainbow,5,48,78510,1-427-182-0531x755,17,543 Kenneth Dam,New Kelly,SD,Ipsum nobis pariatur sint fuga.,male,true
Amanda,Matthews,ebarnes@placeholder.email,Cherry Tomato,4,5,24769,838-393-9624,23,047 Lee Terrace,Lake David,TN,Dolorum doloremque blanditiis dolor reprehenderit dolorem.,female,true
David,Brandon,stephanie17@placeholder.email,Sungold,4,48,97483,(258)039-3889,26,7141 Barbara Forks,East Kellystad,IL,Officia dolore assumenda fuga ducimus.,male,true
Elizabeth,Sutton,ftorres@placeholder.email,Green Zebra,2,77,45639,(466)178-7155x94281,19,9311 Howard Plains Suite 258,South Kyle,RI,Laboriosam placeat incidunt minima libero officia.,female,true
David,Joshua,jeffrey21@placeholder.email,Sunrise Bumble Bee,4,6,40526,+48(4)8932762778,46,84696 Estrada Ridges,New Katelynmouth,MH,Culpa sequi repellendus dolorem facilis vel quia repellat.,male,true
Tamara,Weaver,dbell@placeholder.email,Enchantment,56,21,38066,(679)269-1695x17515,18,572 Laurie Villages,North Ashley,MS,Illo blanditiis quidem rerum accusantium veritatis autem voluptatem nihil.,female,true
